csi,lambda,gamma,k,h,target
792987723313754,99.7974814260346,1,2.283372931083,2.134331,0
0,0,0,0,0,0
25431202774008.8,109.965983003829,1,1.73675668102234,2.785523,0
901460709848774,105.40121545992,1,4.55877810100688,4.591418,0
4780203759763.48,105.799994015458,1,1.94388669824442,1.971854,0
1.43310181827472e+15,106.286591471293,1,3.98274298791491,3.910175,0
563989913003.389,104.532676459321,1,2.93238532694977,4.675406,0
1.67301861176105e+16,96.4662735544784,0.668451512602356,2.81251685822615,3.022982,0
1.20888651426679e+15,99.2522349219009,0.186030235743357,2.73893773989564,4.380413,0.00820084894156425
1.22482457664198e+15,99.596004224184,0.791668627700502,1.85009116146155,1.856914,0
132729398347823,104.041147675521,1,1.73324373705171,2.218295,0
5615460943.04894,104.371254077684,1,1.91874647924831,2.20868,0
2355924270279.74,103.283615652577,0.596632492042225,2.12908222753674,2.837378,0.0157753356891357
0,0,0,0,0,0
1.75829576213901e+15,99.7163475294266,0.872728217353767,7.71097229856584,11.42149,0
1.74845986494565e+16,102.576252192079,0.301375668393767,8.12989487536189,5.88473,0
0,0,0,0,0,0
7.73369942674326e+16,98.1598262355433,0.408770742269964,4.84724807616849,4.477052,0
1.22252352524561e+17,100.598988427805,0.437429692226558,2.57441940455042,3.962891,0.0133297249965478
1.30590088648772e+17,95.1778309459262,0.614464335619055,2.21248465493153,2.923916,0.00171462611622586
277415942049324,102.910169048922,1,2.22879400181232,1.90515,0
2.020600994285e+17,97.6165234986755,0.682430275001354,2.53264897889863,2.090576,0.00102775593520255
7.4067832810694e+15,92.1875657813452,0.682430275001353,6.47432560088363,4.400234,0.0126488130637794
2.77683682516742e+16,98.0762645659994,0.948682416587995,2.94535214094128,2.434718,0
181658411414028,106.028027207104,0.534360909679005,3.38059955496835,4.728959,0.0225321399686513
0,0,0,0,0,0
0,0,0,0,0,0
1.22616683355869e+16,88.1602677620086,0.433950781964279,2.28805933606621,2.069765,0
6.79879988293755e+16,90.7841881102089,0.489662442810881,1.8971252110487,1.93894,0
5.52549816943374e+15,94.5418913713554,0.836686751409179,2.5808686131314,3.617639,0
5.44094296811032e+15,98.5374436962368,0.995594309490144,4.97879801520982,4.237007,0
176761662.860974,91.4029101673808,1,3.32946413002804,3.358115,0
1.93055714322562e+16,103.438224299519,0.40581629446054,1.7415733693321,2.190581,0.00108974563336695
1.10623233614518e+16,96.7928995289873,0.807232167809527,2.34825816825716,3.464792,0.277622639018925
2.00102011094812e+15,106.655066982393,0.585714874926425,3.84121440390865,4.861349,0.0932512552615565
1.53732307535902e+15,106.630116757121,0.656817252979894,4.32620265369248,9.2287,0.473442459904029
99257455473907.3,89.5212861912553,0.681503885041005,4.33169062951121,6.17891,0.171312029598091
1.1272378124843e+17,88.9444115750932,0.354009822612348,1.91887241252717,3.101237,0.0387727145750112
5.22269124882745e+15,100.091375969894,0.451936583327716,1.58158487672003,1.78264,0
2167327073962.54,99.5455724731652,1,5.36206272583252,9.58238,0.00107640424058819
1.71094581208781e+16,105.617664726441,0.520696326733239,3.74248486904905,4.558571,0.0256402157380178
4.94278986270489e+17,90.1078697239966,0.479104589714671,1.91105656385895,3.083276,0.0207131851791842
1.72744157533691e+17,95.3771170851165,0.68132361558004,6.51414867456965,5.17508,0.00335536641581879
1.7764338152002e+16,107.356832388803,0.377259760124905,1.88028604104749,2.347259,0.00231009801741133
2.86699121629889e+16,114.600594065394,0.576708551271352,2.66041403424529,1.990307,0.0561962330670984
1.39546527158421e+15,101.294384614766,0.639666812235899,9.10758211586079,9.2347,0
8.3357373039321e+15,96.1735762764353,0.689470729731885,2.66893286852014,2.144048,0.00105823447848707
1596270242035.3,93.3273897220046,1,2.48924342849773,1.80808,0
1.20999505409275e+16,76.4556866950543,0.491870518649734,9.76281118003018,10.14221,0
239337664578328,103.985866831898,0.500428577265315,2.21745294484866,1.71812,0
2.83162356653682e+15,99.6645627759344,0.755131773543391,6.44398071738264,3.701087,0.00272093292031916
0,0,0,0,0,0
7.79852814371296e+15,91.8868199579667,0.615670992666581,3.54590527602131,3.811859,0
0,0,0,0,0,0
1.51442882478084e+17,77.3145907763693,0.50866795158424,9.92179728560973,6.27762,0.00209748375109153
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.69169584482547e+16,94.412082535653,0.388114175629451,1.97692325497386,1.991017,0
5.12873418829895e+15,92.8192692435989,0.4271275006822,3.19601606899152,3.944516,0
24964448086081.5,91.8935597271655,0.892756427584756,5.50169969402992,4.326656,0
1284919255.75602,85.8749908124695,1,2.40732776833132,2.64473,0
2.77159597150364e+21,61.2237626895724,0.342968159125916,11.1973175292899,14.16954,0.0642468802296078
1.06857464585067e+16,72.9817025706521,0.309786324279692,2.7337787695572,3.315755,0
589985254.635144,90.1022931188324,1,2.57746351376617,3.456566,0
439929839.71596,91.2981544058999,1,2.48635694852854,2.480243,0
685538841.974865,92.3538154717396,1,2.34133196721976,2.483651,0
4276389779922.68,73.0073152291065,1,2.59454891193799,2.189189,0
143280586.386563,91.2114492411848,1,2.62845140669926,2.59859,0
77828289.5984562,91.2538201256375,1,2.38777013159093,3.221339,0
135014062.637322,91.3366474717036,1,1.78342418336525,2.875112,0
494933090.268119,91.2010547435426,1,1.66703436037057,2.165327,0
