id,x,y,csi,lambda,gamma,target
125,101,65,21789255365968,104.486259093268,1,0.0157448001327629
126,96,84,5.39716775034528e+16,92.2248482760257,0.707945784384138,0
126,97,84,4.00858306008229e+16,88.5238784947535,0.707945784384138,0
126,98,84,1.56652161786304e+17,88.1009016456863,0.841395141645195,0
126,99,84,9.85965266006387e+16,90.0317043377951,1,0
126,100,84,5.8575615775125e+16,90.3200688682335,1,0
126,101,84,4.436709429339e+15,92.0482204932408,1,0
126,96,85,5.53224790749201e+16,89.2877220292766,0.707945784384138,0
126,97,85,3.58100165045763e+16,90.3925013417465,0.707945784384138,0
126,98,85,8.55606297142357e+16,93.27716375939,0.841395141645195,0
126,99,85,7.7973515439376e+16,93.6454867559809,1,0
126,100,85,3.18066069837915e+16,93.3818830911425,1,0
126,101,85,7.15990109332942e+15,93.9439349519197,1,0
126,96,86,9.59328112342809e+17,89.76742816992,0.421696503428582,0
126,97,86,4.75005997945684e+17,90.9188720674766,0.707945784384138,0
126,98,86,3.21852630476425e+17,91.4952207120345,0.841395141645195,0
126,99,86,1.80245640587713e+17,92.5533733579038,1,0
126,100,86,1.85226970239198e+17,92.6268112612742,0.841395141645195,0
126,101,86,6.55525097620875e+16,92.4788839392667,0.707945784384138,0
126,96,87,9.54438255167452e+17,101.780190211967,0.59566214352901,0
126,97,87,5.58510963293346e+17,101.198942678516,0.501187233627272,0
126,98,87,2.41734853646136e+17,98.8128054477241,0.501187233627272,0
126,99,87,1.64083198701277e+17,95.765598628215,0.501187233627272,0
126,100,87,9.48153881260261e+16,88.7008168083208,0.421696503428582,0
126,101,87,5.04007888935681e+16,85.3339772237564,0.421696503428582,0
126,96,88,2.4787932908892e+17,93.6468635823842,0.421696503428582,0
126,97,88,1.39833768047336e+17,88.651521521126,0.354813389233575,0
126,98,88,5.50807751976293e+16,86.7863620794505,0.354813389233575,0
126,99,88,3.42533458012646e+16,87.2422190603412,0.421696503428582,0
126,100,88,3.9813020320156e+16,88.7873124236041,0.421696503428582,0
126,101,88,2.61813979977553e+16,91.7916016656415,0.421696503428582,0
126,96,89,3.37924841852841e+16,90.7889403623137,0.421696503428582,0
126,97,89,1.83908071295638e+16,94.4232761691334,0.421696503428582,0
126,98,89,9.75544994272835e+15,96.906097091163,0.251188643150958,0
126,99,89,5.49296028552391e+15,98.6485119837987,0.251188643150958,0
126,100,89,5.49536812771218e+15,99.8147251042734,0.251188643150958,0
126,101,89,2.6326507815451e+15,98.703551670389,0.251188643150958,0
0,0,0,0,0,0,0
128,96,120,83589559472155.1,99.7160283802256,1,0
128,97,120,40402228715550.9,99.2454369765613,1,0
128,98,120,186474688216265,100.210451917115,1,0
128,99,120,280880658995031,99.7037747312224,1,0
128,100,120,208778060390294,100.514467390908,1,0
128,101,120,102326569789179,98.7845975862212,0.841395141645195,0
128,96,121,29784201703610,99.3726480812049,1,0
128,97,121,23705358467509,99.3428969007324,1,0
128,98,121,181012399003686,99.1151923396038,1,0
128,99,121,417857187529644,97.4299644901422,1,0
128,100,121,367680230163980,99.4183713153358,1,0
128,101,121,205030301390506,98.8014751021941,0.707945784384138,0
128,96,122,133878390283776,99.7148573289096,1,0
