id,x,y,csi,lambda,gamma,h,targetGlobale,target
4,24,108,110615812732.881,90.4485810083632,1,5.49132,0.923444264944284,0.047135176581819
4,25,108,8642281629444.22,90.6914038035587,1,5.49132,0.923444264944284,0.047135176581819
4,26,108,582453900781294,91.4155813161224,1,5.49132,0.923444264944284,0.047135176581819
4,27,108,611504916005570,93.0221307074028,0.421696503428582,5.49132,0.923444264944284,0.047135176581819
4,28,108,2.35271666470867e+16,93.2440675815431,0.421696503428582,5.49132,0.923444264944284,0.047135176581819
4,29,108,2.48096726968989e+16,103.852551686337,0.251188643150958,5.49132,0.923444264944284,0.047135176581819
4,24,109,142118239043.741,90.3782763422252,1,5.49132,0.923444264944284,0.047135176581819
4,25,109,8497181193176.85,90.6795434917457,1,5.49132,0.923444264944284,0.047135176581819
4,26,109,686742019512100,91.2743795023652,1,5.49132,0.923444264944284,0.047135176581819
4,27,109,760359158271621,92.9356068896501,0.421696503428582,5.49132,0.923444264944284,0.047135176581819
4,28,109,2.79219810689466e+16,93.0662994811889,0.421696503428582,5.49132,0.923444264944284,0.047135176581819
4,29,109,3.18621451850873e+16,103.501367513716,0.251188643150958,5.49132,0.923444264944284,0.047135176581819
4,24,110,149622299373.348,90.3013631487125,1,5.49132,0.923444264944284,0.047135176581819
4,25,110,8102761072415.4,90.5851008934537,1,5.49132,0.923444264944284,0.047135176581819
4,26,110,779900940298857,91.2268126224378,1,5.49132,0.923444264944284,0.047135176581819
4,27,110,921911976292480,92.7652367067963,0.421696503428582,5.49132,0.923444264944284,0.047135176581819
4,28,110,3.22178483928118e+16,93.0498797341116,0.421696503428582,5.49132,0.923444264944284,0.047135176581819
4,29,110,4.10236241481761e+16,103.017727632282,0.251188643150958,5.49132,0.923444264944284,0.047135176581819
4,24,111,173005054783.691,90.221956088358,1,5.49132,0.923444264944284,0.047135176581819
4,25,111,8483560174319.99,90.5384040093733,1,5.49132,0.923444264944284,0.047135176581819
4,26,111,771397964212081,91.1532462350633,1,5.49132,0.923444264944284,0.047135176581819
4,27,111,943719374496671,92.7135636040798,0.421696503428582,5.49132,0.923444264944284,0.047135176581819
4,28,111,3.18675541190263e+16,93.0392062446714,0.421696503428582,5.49132,0.923444264944284,0.047135176581819
4,29,111,4.29821989644791e+16,102.751049589321,0.251188643150958,5.49132,0.923444264944284,0.047135176581819
