csi,lambda,gamma,w,k,h,target
7.80774534021499e+20,0.647080041580105,0.382175751564606,10838.8176478596,1.33829210512997,1.895219,0
4.8189031912796e+20,0.619013225105671,0.610337144938212,17705.1514195215,3.68533011075759,3.948263,0
1.46091862583261e+20,0.664854003647582,0.446939631929847,11466.4069050066,1.31489801304522,1.03381,0
6.24078307047156e+18,0.741514758829932,0.826292636078589,10311.9072997275,21.0679932840601,11.12447,0.0411081507399224
1.16456538277977e+17,0.759421945937462,0.732738308097282,11576.5990092727,1.74153387929468,1.537363,0
1.866600929113e+18,0.726551322159021,0.583520122395096,10871.4785353909,2.32427062841054,3.433529,0.0135385339736436
3.88470682247475e+16,0.759016222516288,1,14219.5336557835,2.13917556229883,1.999115,0
8.5603406190972e+16,0.7919782341707,0.908365350629644,11777.1775908664,1.62439307534338,1.471141,0.00132480199838902
2.62641935784324e+17,0.834783988520513,0.379132934116124,5851.24605406127,1.72767789659269,1.434088,0.220706615892506
3.59687839595973e+15,0.87358099577877,0.953582794068778,12306.0573249582,1.77271594638601,2.166791,0.0050444346293792
2.56597547092582e+16,0.882101327570468,0.569933373580524,8545.67434416939,1.9762149531112,1.489481,0.0547385520046003
1.20987465281185e+17,0.835764840340027,0.638405867037898,10988.2577489774,4.98147121337852,4.594889,0
6.21995865538585e+17,0.67543521002638,0.480904351722354,7832.7536640526,2.3226413938014,2.590028,0
1.01528268065638e+17,0.730237295684921,1,14671.1352038389,2.33904378729355,3.177557,0.00649991074047362
4.45566112833004e+20,0.675132878639723,0.467194745658664,11530.1740384075,2.06289710927237,2.630024,0
5.68912048741056e+20,0.598826586276633,0.792794622997766,23554.682379895,2.73294694923226,3.907061,0.00265622172661151
9.93811226333618e+20,0.594864138752529,0.46043016570801,13212.9019844848,4.27246373523086,4.622504,0
2.00839494993686e+20,0.634090400705385,0.843387455751901,23948.6572480728,2.27156398712336,1.880261,0
3.07422965012039e+19,0.695163776180677,0.523722966152313,7564.55292662144,2.43273370852928,2.572736,0
1.9817447640216e+17,0.755938942700495,0.976250085265509,15946.483624821,2.23925849772925,2.407763,0
3.37478981535968e+18,0.729795353054406,0.472677016138444,9672.091347197,1.79285673343832,2.6495,0.0362173232087739
1.5019020786166e+17,0.750713857842818,1,15336.2885350045,2.43752144665849,4.179611,0.0018723189526233
1.83984619114e+16,0.769829700173065,1,12573.8665749704,3.0040374390781,2.812481,0
1.71300542530259e+17,0.797944701264865,0.679583720265533,9862.04385283994,3.03924568212336,3.393881,0
7.14871078583264e+16,0.851230124262048,0.57571459798379,7859.81259208503,7.39275649842225,4.646354,0.12811924831873
2.98004043383053e+15,0.865763034401189,0.968137468165069,11975.1155639576,2.97206181810171,4.392404,0.0062128123627766
4.30933057210172e+16,0.891567651885326,0.619557246037264,9505.58964532084,3.96836523277371,4.915295,0.0021065853996115
1.20978499445607e+18,0.697950244496343,0.489662442810881,8604.82533373082,2.6041568594112,2.026232,0.00445262518800282
1.01652482670422e+17,0.739950242010277,1,14707.6479690508,2.27738486757193,1.962095,0
2.60003874060458e+20,0.682240407648009,0.573233125325689,13246.0591236076,2.99426245093799,2.583797,0
3.15124847298051e+20,0.591826727112642,0.76134630260104,21378.5231596999,2.86186637770681,2.469914,0
6.00222667080178e+20,0.588341624670668,0.719703136157574,20434.6668580398,2.38986103225797,2.589104,0
1.46747054082417e+20,0.634678131314186,0.673778095734739,18660.1668868489,6.52154115396329,4.749788,0.00377306991221915
1.42564730156022e+19,0.712067821059769,0.613711822468569,8689.52681716487,5.92318583176014,10.59741,0
2.06553007335153e+17,0.757109083543044,0.941924498562761,15683.0476049298,1.74277969534495,1.576296,0
